,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,На,на,ADP,case,"[3, 11]",[],
3,картине,картина,NOUN,obl,[11],[0],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
11,изображены,изобразить,VERB,ROOT,[],"[3, 26, 34]",Aspect=Perf|Number=Plur|StyleVariant=Short|Tense=Past|VerbForm=Part|Voice=Pass
22,три,три,NUM,nummod:gov,"[26, 11]",[],Case=Nom
26,человека,человек,NOUN,nsubj:pass,[11],[22],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
34,.,.,PUNCT,punct,[11],[],
36,Крестьянин,крестьянин,NOUN,ROOT,[],"[56, 92]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
46,",",",",PUNCT,punct,"[56, 36]",[],
48,который,который,PRON,nsubj,"[56, 36]",[],Case=Nom|Gender=Masc|Number=Sing
56,запрягает,запрягать,VERB,acl:relcl,[36],"[46, 48, 66, 78]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
66,коня,конь,NOUN,obj,"[56, 36]",[],Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
70,",",",",PUNCT,punct,"[78, 56, 36]",[],
72,чтобы,чтобы,SCONJ,mark,"[78, 56, 36]",[],
78,вспахать,вспахать,VERB,advcl,"[56, 36]","[70, 72, 87]",Aspect=Perf|VerbForm=Inf|Voice=Act
